Ammonia(N),Temp Water,pH,O Diss %sat,Orthophospht,target
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.078,6.9,8.09,96.1,0.097,0
0.03,6.5,8.18,101.2,0.044,0
0.13,5.0,7.93,89.7,0.086,0
0.054,5.4,8.01,96.5,0.11,0
0.042,2.7,8.14,95.1,0.15,0
0.13,4.9,8.17,98.1,0.082,0
0.032,5.7,8.35,97.8,0.079,0
0.03,6.3,7.7639590666403,97.5,0.05,0
19.0,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.17,6.4,8.32,95.5,0.076,0
0.086,3.5,8.13,96.2,0.057,0
0.037,4.7,8.09,97.6,0.023,0
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.031,5.4,8.25,96.8,0.075,0
4.0,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.082,4.1,8.45,100.4,0.049,0
0.15,4.2,8.38,98.2,0.041,0
20.0,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.063,4.5,8.35,94.6,0.11,0
0.044,7.1,8.28,98.2,0.1,0
0.082,5.8,8.21,97.0,0.14,0
0.07,5.6,8.33,97.8,0.16,0
0.035,6.2,8.17,94.7,0.083,0
0.077,5.5,8.19,98.2,0.09,0
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
4.4,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.39,5.6,8.25,95.0,0.15,0
0.03,6.8,8.3,99.8,0.017,0
0.067,5.5,8.31,97.8,0.14,0
0.06,4.9,8.24,98.3,0.09,0
0.64,9.4,7.4,76.5,0.19,0
0.7890097962962963,5.973470599146726,8.4,93.87625272331155,0.1352702980688497,0
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
1.4,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.051,6.8,7.91,93.7,0.033,0
0.047,7.1,8.19,91.9,0.052,0
0.049,7.4,7.72,89.3,0.036,0
0.17,5.7,8.01,90.6,0.33,0
0.03,5.3,7.4,64.7,0.013,0
0.041,7.0,8.22,91.9,0.24,0
0.03,8.4,7.31,65.8,0.013,0
0.03,6.6,7.31,70.1,0.011,0
0.042,5.2,8.15,91.8,0.45,0
0.76,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.17,7.3,7.85,93.6,0.15,0
0.57,5.7,7.84,89.8,0.2,0
0.22,6.5,7.5,74.2,0.24,0
0.03,6.8,8.31,98.5,0.015,0
0.62,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
1.2,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.071,7.6,7.69,91.5,0.048,0
0.7890097962962963,5.973470599146726,7.67,93.87625272331155,0.1352702980688497,0
0.17,4.9,8.12,97.7,0.16,0
0.093,5.2,8.14,99.2,0.11,0
0.03,5.8,8.23,95.2,0.048,0
0.03,5.6,7.98,95.6,0.055,0
73.0,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.033,4.2,8.5,98.6,0.14,0
0.071,4.2,8.21,95.9,0.14,0
0.03,4.6,8.24,100.6,0.056,0
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.11,5.4,7.71,76.6,0.098,0
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
1.1,4.8,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.03,4.2,8.25,95.7,0.11,0
0.03,4.8,8.25,97.0,0.044,0
0.03,6.1,7.93,92.9,0.074,0
0.03,4.9,8.3,99.3,0.043,0
0.03,3.9,8.25,98.8,0.042,0
0.03,5.0,8.15,97.1,0.063,0
0.077,3.9,8.25,96.0,0.16,0
0.13,4.4,8.12,91.8,0.11,0
1.7,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
25.0,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.34,6.4,7.86,86.5,0.072,0
